,name,Accuracy,geometry,Latitude,Longitude,PS,PPE,PNP,PAR,MSI,DP,FOL,MAN-NPA-FK,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
0,Advent School Koraal Specht,good,POINT (-68.89689737 12.09720473),12.09720473,-68.89689737,67.0,1.0,74.0,431.0,4.0,19.0,26.0,185.0,807.0,1314,61.41552511415526,3,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
16,J.W.Th. Schotborgh Kleuterschool,good,POINT (-68.89726114 12.09868077),12.09868077,-68.89726114,116.0,1.0,25.0,140.0,0.0,26.0,36.0,331.0,675.0,992,68.04435483870968,3,2466.016500000081,4055.1229077338576,Koraal Specht,MAN-NPA-FK
54,Sentro Detenshon i Korekshon Korsou,good,POINT (-68.89166185 12.0925436),12.0925436,-68.89166185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,3,2466.016500000081,4055.1229077338576,Koraal Specht,PS
69,Skol Marieta Alberto Paseo,good,POINT (-68.89628122 12.09631975),12.09631975,-68.89628122,116.0,3.0,41.0,151.0,1.0,13.0,32.0,261.0,618.0,1337,46.222887060583396,3,2466.016500000081,4055.1229077338576,Koraal Specht,MAN-NPA-FK
1,Albert Schweitzer Parera VSBO,good,POINT (-68.91386792 12.10753482),12.10753482,-68.91386792,84.0,1.0,36.0,188.0,0.0,18.0,23.0,153.0,503.0,682,73.75366568914956,3,1714.8786500007814,5831.3164024728185,Saliña,PAR
8,Dr. Albert Schweitzer Kleuterschool,good,POINT (-68.90579858 12.10722713),12.10722713,-68.90579858,70.0,6.0,78.0,264.0,0.0,15.0,21.0,140.0,594.0,821,72.35079171741778,3,1714.8786500007814,5831.3164024728185,Saliña,PAR
81,VSBO St. Paulus Salinja,good,POINT (-68.9053505 12.10566701),12.10566701,-68.9053505,96.0,1.0,93.0,515.0,7.0,20.0,19.0,207.0,958.0,1258,76.15262321144675,3,1714.8786500007814,5831.3164024728185,Saliña,PAR
2,Angela Jessurunschool,good,POINT (-68.86196188 12.11334361),12.11334361,-68.86196188,156.0,2.0,63.0,237.0,1.0,14.0,79.0,252.0,804.0,1378,58.345428156748916,3,1221.3622099999025,8187.579342249995,Montaña Abou,MAN-NPA-FK
3,Atanacio Emilio Goiloschool,good,POINT (-68.97024157 12.15369989),12.15369989,-68.97024157,280.0,8.0,166.0,844.0,16.0,63.0,160.0,642.0,2179.0,5263,44.456030774831795,3,2871.3124750004704,3482.7278769087516,Groot Piscadera,PAR
14,H.J.A. Schroederschool,good,POINT (-68.96985492 12.15291124),12.15291124,-68.96985492,185.0,4.0,48.0,158.0,2.0,19.0,82.0,403.0,901.0,1392,64.72701149425288,3,2871.3124750004704,3482.7278769087516,Groot Piscadera,MAN-NPA-FK
