,name,Accuracy,geometry,Latitude,Longitude,MFK,FOL,PS,MAN,PAR,DP,PAIS,PNP,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
0,Advent School Koraal Specht,good,POINT (-68.89689737 12.09720473),12.09720473,-68.89689737,96.0,19.0,136.0,76.0,263.0,15.0,253.0,81.0,939.0,1314,71.46118721461188,5,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
16,J.W.Th. Schotborgh Kleuterschool,good,POINT (-68.89726114 12.09868077),12.09868077,-68.89726114,261.0,22.0,222.0,99.0,121.0,11.0,80.0,17.0,833.0,992,83.97177419354838,5,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
54,Sentro Detenshon i Korekshon Korsou,good,POINT (-68.89166185 12.0925436),12.0925436,-68.89166185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,5,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
69,Skol Marieta Alberto Paseo,good,POINT (-68.89628122 12.09631975),12.09631975,-68.89628122,220.0,17.0,238.0,94.0,103.0,17.0,66.0,36.0,791.0,1337,59.16230366492147,5,2466.016500000081,4055.1229077338576,Koraal Specht,PS
1,Albert Schweitzer Parera VSBO,good,POINT (-68.91386792 12.10753482),12.10753482,-68.91386792,137.0,6.0,125.0,52.0,126.0,4.0,90.0,22.0,562.0,682,82.40469208211144,5,1714.8786500007814,5831.3164024728185,Saliña,MFK
8,Dr. Albert Schweitzer Kleuterschool,good,POINT (-68.90579858 12.10722713),12.10722713,-68.90579858,94.0,5.0,102.0,56.0,198.0,9.0,138.0,49.0,651.0,821,79.29354445797807,5,1714.8786500007814,5831.3164024728185,Saliña,PAR
81,VSBO St. Paulus Salinja,good,POINT (-68.9053505 12.10566701),12.10566701,-68.9053505,124.0,13.0,159.0,69.0,315.0,13.0,265.0,78.0,1036.0,1258,82.35294117647058,5,1714.8786500007814,5831.3164024728185,Saliña,PAR
2,Angela Jessurunschool,good,POINT (-68.86196188 12.11334361),12.11334361,-68.86196188,229.0,22.0,267.0,97.0,148.0,10.0,119.0,42.0,934.0,1378,67.77939042089986,5,1221.3622099999025,8187.579342249995,Montaña Abou,PS
3,Atanacio Emilio Goiloschool,good,POINT (-68.97024157 12.15369989),12.15369989,-68.97024157,553.0,52.0,550.0,201.0,545.0,31.0,490.0,118.0,2540.0,5263,51.64098880568431,5,2871.3124750004704,3482.7278769087516,Groot Piscadera,MFK
14,H.J.A. Schroederschool,good,POINT (-68.96985492 12.15291124),12.15291124,-68.96985492,359.0,31.0,373.0,185.0,132.0,9.0,78.0,50.0,1217.0,1392,87.42816091954023,5,2871.3124750004704,3482.7278769087516,Groot Piscadera,PS
80,University of Curacao,good,POINT (-68.96101605 12.15746791),12.15746791,-68.96101605,397.0,72.0,579.0,320.0,347.0,27.0,337.0,114.0,2193.0,2950,74.32821640484485,5,2871.3124750004704,3482.7278769087516,Groot Piscadera,PS
4,B.T.G. gebouw,good,POINT (-68.9061915 12.09234313),12.09234313,-68.9061915,118.0,8.0,174.0,53.0,106.0,10.0,101.0,25.0,595.0,719,82.75382475660639,5,1024.1566249996736,9764.131536036479,Steenrijk,PS
6,Bokshal Marie Pampoen,approx,POINT (-68.9073393 12.09352217),12.09352217,-68.9073393,133.0,6.0,154.0,45.0,204.0,10.0,145.0,33.0,730.0,862,84.68677494199535,5,1024.1566249996736,9764.131536036479,Steenrijk,PAR
15,Hub. den Ambiente Sano (Dep.RKMTS),bad,POINT (-68.91322809 12.1018767),12.1018767,-68.91322809,192.0,7.0,161.0,40.0,102.0,11.0,69.0,33.0,615.0,826,74.45520581113801,5,1024.1566249996736,9764.131536036479,Steenrijk,MFK
73,St. Albertus College,good,POINT (-68.91488906 12.10029972),12.10029972,-68.91488906,131.0,4.0,155.0,36.0,100.0,6.0,97.0,28.0,557.0,1352,41.19822485207101,5,1024.1566249996736,9764.131536036479,Steenrijk,PS
5,Berg Carmel College,bad,POINT (-68.91615756 12.10772965),12.10772965,-68.91615756,126.0,11.0,132.0,79.0,131.0,9.0,121.0,40.0,649.0,848,76.53301886792453,5,702.453944999909,14235.808726223746,Berg Altena,PS
46,Oranjeschool,good,POINT (-68.92207281 12.10204775),12.10204775,-68.92207281,93.0,11.0,141.0,48.0,121.0,12.0,56.0,26.0,508.0,1364,37.24340175953079,5,702.453944999909,14235.808726223746,Berg Altena,PS
7,Cola Debrot School,good,POINT (-68.94947646 12.13964816),12.13964816,-68.94947646,173.0,33.0,233.0,109.0,112.0,14.0,94.0,47.0,815.0,115,708.6956521739131,5,1230.5288949999435,8126.586901480651,Rosendaal,PS
9,Emmy Berthold Kleuterschool,good,POINT (-68.92895591 12.15508797),12.15508797,-68.92895591,135.0,19.0,141.0,71.0,102.0,19.0,92.0,25.0,604.0,778,77.6349614395887,5,1560.4220700000035,6408.522535188174,Stenen Koraal,PS
37,Maduro Kleuterschool,approx,POINT (-68.94050894 12.16541561),12.16541561,-68.94050894,354.0,29.0,284.0,108.0,164.0,13.0,120.0,39.0,1111.0,1493,74.41393168117884,5,1560.4220700000035,6408.522535188174,Stenen Koraal,MFK
38,Maduroschool (Skol Basiko),good,POINT (-68.93993426 12.16548132),12.16548132,-68.93993426,221.0,26.0,219.0,82.0,58.0,22.0,70.0,34.0,732.0,990,73.93939393939394,5,1560.4220700000035,6408.522535188174,Stenen Koraal,MFK
27,Kolegio Maria Auxiliadora,good,POINT (-68.94266152 12.15874524),12.15874524,-68.94266152,435.0,85.0,635.0,220.0,365.0,38.0,408.0,132.0,2318.0,3777,62.30856671781078,5,2202.7185950001244,4539.844546052618,Stenen Koraal,PS
62,Sentro di Bario Santa Maria,good,POINT (-68.94165382 12.15746306),12.15746306,-68.94165382,98.0,17.0,108.0,56.0,126.0,8.0,135.0,35.0,583.0,756,77.11640211640211,5,2202.7185950001244,4539.844546052618,Stenen Koraal,PAIS
74,St. Antonius College,good,POINT (-68.94165793 12.15683805),12.15683805,-68.94165793,140.0,24.0,156.0,74.0,115.0,14.0,100.0,54.0,677.0,863,78.44727694090382,5,2202.7185950001244,4539.844546052618,Stenen Koraal,PS
77,St. Joris College,good,POINT (-68.94482156 12.15968138),12.15968138,-68.94482156,387.0,80.0,402.0,191.0,318.0,32.0,343.0,121.0,1874.0,2010,90.70715247499359,5,2202.7185950001244,4539.844546052618,Stenen Koraal,PS
10,Fatima College,good,POINT (-68.92674545 12.15199248),12.15199248,-68.92674545,302.0,18.0,399.0,180.0,310.0,18.0,245.0,97.0,1569.0,808,4005.4229480737017,5,1398.851330000067,7148.722516494674,Suffisant,PS
13,Gouv. J.R. Laufferschool,good,POINT (-68.91816418 12.14721026),12.14721026,-68.91816418,201.0,18.0,307.0,111.0,484.0,21.0,477.0,117.0,1736.0,1138,152.54833040421795,5,1398.851330000067,7148.722516494674,Suffisant,PAR
47,Prins Bernhard Kleuterschool,good,POINT (-68.92396509 12.14598166),12.14598166,-68.92396509,115.0,9.0,106.0,52.0,173.0,10.0,167.0,36.0,668.0,848,78.77358490566037,5,1398.851330000067,7148.722516494674,Suffisant,PAR
79,Stella Maris College,good,POINT (-68.92781356 12.14736469),12.14736469,-68.92781356,152.0,32.0,146.0,86.0,124.0,11.0,72.0,39.0,662.0,878,75.39863325740319,5,1398.851330000067,7148.722516494674,Suffisant,MFK
11,Frater Aurelio SBO,good,POINT (-68.92458758 12.10404499),12.10404499,-68.92458758,179.0,16.0,130.0,46.0,60.0,8.0,70.0,28.0,537.0,115,466.95652173913044,5,197.5847350000078,50611.19726683139,Pietermaai,MFK
72,Springplank,good,POINT (-68.92624462 12.10296725),12.10296725,-68.92624462,224.0,27.0,284.0,145.0,67.0,8.0,70.0,21.0,846.0,898,94.20935412026726,5,197.5847350000078,50611.19726683139,Pietermaai,PS
12,Glorieux College,bad,POINT (-68.89505149 12.14953538),12.14953538,-68.89505149,233.0,26.0,233.0,96.0,295.0,20.0,263.0,81.0,1247.0,1591,78.40689139573414,5,4106.59560499983,2435.107072102468,Brievengat zone,PAR
36,Kolegio Sur Herman Joseph,good,POINT (-68.88738258 12.14903375),12.14903375,-68.88738258,290.0,22.0,215.0,75.0,76.0,7.0,95.0,31.0,811.0,1027,78.96786757546252,5,4106.59560499983,2435.107072102468,Brievengat zone,MFK
49,Prof. Dr. I.C. van Houteschool,good,POINT (-68.89453723 12.14709052),12.14709052,-68.89453723,122.0,11.0,141.0,41.0,74.0,6.0,64.0,29.0,488.0,1137,42.919964819700965,5,4106.59560499983,2435.107072102468,Brievengat zone,PS
57,Sentro di Bario Brievengat,good,POINT (-68.89502873 12.14949405),12.14949405,-68.89502873,194.0,19.0,184.0,98.0,136.0,12.0,111.0,73.0,827.0,1127,73.38065661047027,5,4106.59560499983,2435.107072102468,Brievengat zone,MFK
67,Skol Basiko Immanuel,good,POINT (-68.89206881 12.15219405),12.15219405,-68.89206881,93.0,8.0,184.0,67.0,259.0,15.0,226.0,78.0,930.0,1179,78.88040712468194,5,4106.59560499983,2435.107072102468,Brievengat zone,PAR
70,Skol Preparatorio Immanuel,good,POINT (-68.89164985 12.15295435),12.15295435,-68.89164985,79.0,8.0,102.0,46.0,82.0,9.0,53.0,23.0,402.0,1504,26.728723404255316,5,4106.59560499983,2435.107072102468,Brievengat zone,PS
17,Johan van Walbeeck Kleuterschool,good,POINT (-68.89853204 12.12417421),12.12417421,-68.89853204,57.0,5.0,46.0,34.0,317.0,12.0,260.0,61.0,792.0,989,80.0808897876643,5,359.0853399999665,27848.53316484859,Mahaai,PAR
44,Michiel Martinus Romerschool,good,POINT (-68.90019614 12.12468555),12.12468555,-68.90019614,43.0,8.0,55.0,32.0,486.0,11.0,303.0,76.0,1014.0,1225,82.77551020408164,5,359.0853399999665,27848.53316484859,Mahaai,PAR
50,Radulphus College,good,POINT (-68.89445843 12.12870686),12.12870686,-68.89445843,29.0,6.0,33.0,29.0,389.0,10.0,277.0,79.0,852.0,1028,82.87937743190662,5,2402.32664500043,4162.631264491599,Mahaai,PAR
18,Juan Pablo Duarteschool,good,POINT (-68.9365126 12.14141245),12.14141245,-68.9365126,388.0,43.0,382.0,119.0,164.0,15.0,126.0,64.0,1301.0,1716,76.03405693487586,5,1577.026474999909,6341.047635234264,Buena Vista zone,MFK
30,Kolegio Nechie Pieters,good,POINT (-68.93979609 12.14504001),12.14504001,-68.93979609,354.0,50.0,412.0,137.0,124.0,23.0,122.0,43.0,1265.0,1780,71.12554892524213,5,1577.026474999909,6341.047635234264,Buena Vista zone,PS
