,name,Accuracy,geometry,Latitude,Longitude,MFK,MKP,UKH,MAN,KdNT,PAIS,MP,PAS,DP,PAR,PRO-K,PS,PNP,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
0,Advent School Koraal Specht,good,POINT (-68.89689737 12.09720473),12.09720473,-68.89689737,103,11,61,113,58,61,32,53,18,238,8,46,83,885,1314,67.35159817351598,1,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
16,J.W.Th. Schotborgh Kleuterschool,good,POINT (-68.89726114 12.09868077),12.09868077,-68.89726114,115,12,38,72,136,19,28,61,22,39,7,70,64,683,992,68.8508064516129,1,2466.016500000081,4055.1229077338576,Koraal Specht,KdNT
54,Sentro Detenshon i Korekshon Korsou,good,POINT (-68.89166185 12.0925436),12.0925436,-68.89166185,52,1,5,15,125,2,13,8,2,6,3,5,17,254,0,inf,1,2466.016500000081,4055.1229077338576,Koraal Specht,KdNT
69,Skol Marieta Alberto Paseo,good,POINT (-68.89628122 12.09631975),12.09631975,-68.89628122,131,21,57,100,108,26,39,44,22,166,10,94,103,921,1337,68.88556469708303,1,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
1,Albert Schweitzer Parera VSBO,good,POINT (-68.91386792 12.10753482),12.10753482,-68.91386792,110,12,34,50,38,22,32,32,10,80,13,19,40,492,682,72.14076246334311,1,1714.8786500007814,5831.3164024728185,Saliña,MFK
8,Dr. Albert Schweitzer Kleuterschool,good,POINT (-68.90579858 12.10722713),12.10722713,-68.90579858,65,43,35,86,47,27,29,24,16,137,14,37,46,606,821,73.81242387332522,1,1714.8786500007814,5831.3164024728185,Saliña,PAR
81,VSBO St. Paulus Salinja,good,POINT (-68.9053505 12.10566701),12.10566701,-68.9053505,99,16,67,124,53,53,43,32,25,221,16,53,96,898,1258,71.38314785373609,1,1714.8786500007814,5831.3164024728185,Saliña,PAR
2,Angela Jessurunschool,good,POINT (-68.86196188 12.11334361),12.11334361,-68.86196188,185,29,40,149,116,38,68,31,27,74,15,66,70,908,1378,65.89259796806967,1,1221.3622099999025,8187.579342249995,Montaña Abou,MFK
3,Atanacio Emilio Goiloschool,good,POINT (-68.97024157 12.15369989),12.15369989,-68.97024157,591,79,174,425,443,130,156,133,88,473,34,243,187,3156,5263,60.829904131713754,1,2871.3124750004704,3482.7278769087516,Groot Piscadera,MFK
14,H.J.A. Schroederschool,good,POINT (-68.96985492 12.15291124),12.15291124,-68.96985492,99,34,66,236,61,65,79,37,18,165,17,56,100,1033,1392,74.20977011494253,1,2871.3124750004704,3482.7278769087516,Groot Piscadera,MAN
80,University of Curacao,good,POINT (-68.96101605 12.15746791),12.15746791,-68.96101605,312,59,110,420,215,65,106,78,56,215,18,178,178,2010,2950,68.13754803871504,1,2871.3124750004704,3482.7278769087516,Groot Piscadera,MAN
