,name,Accuracy,geometry,Latitude,Longitude,UKPK,VISHON,KdNT,MP,TPK,DP,KEM,MKP,PNP,PAR,PIN,MAN,MFK,PS,KUMUN,totalkiezers,total,pctKiezers,randNumCol,area,invarea,bario,winner
0,Advenschool Bonam,good,POINT (-68.87666391 12.14195478),12.14195478,-68.87666391,32,50,37,33,39,28,17,23,101,182,63,55,115,6,36,817,1068,76.49812734082397,4,3976.0609650000424,2515.0519793400335,Bonam,PAR
27,Kolegio Iris Bruyning,good,POINT (-68.87616393 12.14292501),12.14292501,-68.87616393,139,47,91,30,61,50,101,46,269,110,51,71,613,28,21,1728,2356,73.53578297398522,4,3976.0609650000424,2515.0519793400335,Bonam,MFK
28,Kolegio Iris Bruyning (Kleutersch.),good,POINT (-68.87616393 12.14292501),12.14292501,-68.87616393,122,140,56,49,115,76,70,82,313,460,144,149,527,35,72,2410,3191,75.406005471029,4,3976.0609650000424,2515.0519793400335,Bonam,MFK
57,Sentro di Bario Bonam,good,POINT (-68.87694397 12.14241248),12.14241248,-68.87694397,51,29,35,19,52,24,28,31,118,94,31,54,269,8,20,863,1165,74.07725321888412,4,3976.0609650000424,2515.0519793400335,Bonam,MFK
1,Advent School Koraal Specht,good,POINT (-68.89689737 12.09720473),12.09720473,-68.89689737,31,72,26,7,13,38,5,19,49,213,42,71,110,5,70,771,1086,70.99447513812154,4,2466.016500000081,4055.1229077338576,Koraal Specht,PAR
19,J.W.Th. Schotborgh Kleuterschool,good,POINT (-68.89726114 12.09868077),12.09868077,-68.89726114,73,59,131,18,47,64,103,63,183,188,47,99,472,26,36,1609,2224,72.34712230215828,4,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
55,Sentro Detenshon i Korekshon Korsou,good,POINT (-68.89166185 12.0925436),12.0925436,-68.89166185,10,7,50,3,19,1,85,18,23,3,1,3,99,3,2,327,0,inf,4,2466.016500000081,4055.1229077338576,Koraal Specht,MFK
2,Albert Schweitzer Parera VSBO,good,POINT (-68.91386792 12.10753482),12.10753482,-68.91386792,35,19,35,13,11,35,30,18,93,88,24,51,189,10,14,665,977,68.06550665301944,4,1714.8786500007814,5831.3164024728185,Saliña,MFK
11,Dr. Albert Schweitzer Kleuterschool,good,POINT (-68.90579858 12.10722713),12.10722713,-68.90579858,30,48,27,7,34,36,24,34,99,147,49,56,137,7,42,777,1024,75.87890625,4,1714.8786500007814,5831.3164024728185,Saliña,PAR
78,VSBO St. Paulus,good,POINT (-68.9053505 12.10566701),12.10566701,-68.9053505,31,45,25,15,19,28,23,9,93,194,45,48,143,5,43,766,1014,75.54240631163708,4,1714.8786500007814,5831.3164024728185,Saliña,PAR
